SR_NUMBER,SR_TYPE_DESC,PRIORITY,DEPT_NAME,METHOD_RECEIVED,NEIGHBORHOOD,ADDRESS,LOCATION,DATE_CREATED,TIME_RECEIVED,DATE_LAST_UPDATE,DATE_CLOSED,SR_STATUS,PLANNED_COMPLETION_DAYS,update_delay_days,LATITUDE,LONGITUDE,created_date,week_start,month
SR25000303,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,311 CALL,EAST PRICE HILL,3519 W 8TH ST,W 8TH ST & MCPHERSON AV - GJ1003531346,2025-01-02T00:00:00,11:26 AM,2025-01-15T00:00:00,2025-01-15T00:00:00,CLOSED,12,13.0,39.10597477,-84.57095079,2025-01-02,2024-12-30,2025-01
SR25000423,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,INTERNET,CAMP WASHINGTON,3845 WILLIAM P DOOLEY BYPS,"3845 WILLIAM P DOOLEY BYPS, CINC - GJ1260937058",2025-01-02T00:00:00,2:22 PM,2025-01-13T00:00:00,2025-01-13T00:00:00,CLOSED,12,11.0,39.15618526,-84.53895822,2025-01-02,2024-12-30,2025-01
SR25000142,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,RADIO,DOWNTOWN,314 E 9TH ST,314 E 9TH ST - GJ1543031538,2025-01-02T00:00:00,5:33 AM,2025-01-15T00:00:00,2025-01-15T00:00:00,CLOSED,12,13.0,39.10638941,-84.50854703,2025-01-02,2024-12-30,2025-01
SR25000147,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,311 CALL,AVONDALE,418 FOREST AV,FOREST AV & ALASKA AV - GJ1612435981,2025-01-02T00:00:00,6:32 AM,2025-01-17T00:00:00,2025-01-17T00:00:00,CLOSED,12,15.0,39.14620959,-84.49911107,2025-01-02,2024-12-30,2025-01
SR25000150,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,311 CALL,CLIFTON,972 LUDLOW AV,LUDLOW AV & CENTRAL PKWY TO LUDLOW AV RAMP - GJ1294736624,2025-01-02T00:00:00,6:44 AM,2025-01-21T00:00:00,2025-01-21T00:00:00,CLOSED,12,19.0,39.15278598,-84.5356357,2025-01-02,2024-12-30,2025-01
SR25000148,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,311 CALL,CUF,2935 CAMPUS GREEN DR,W MARTIN LUTHER KING JR DR & BURNET WOODS DR - GJ1476434775 PRIVATE STREET,2025-01-02T00:00:00,6:36 AM,2025-02-07T00:00:00,2025-02-07T00:00:00,CLOSED,12,36.0,39.13569517,-84.51521681,2025-01-02,2024-12-30,2025-01
SR25000252,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,INTERNET,CUF,2970 JEFFERSON AV,"2970 JEFFERSON AV, CINC -",2025-01-02T00:00:00,10:27 AM,2025-02-07T00:00:00,2025-02-07T00:00:00,CLOSED,12,36.0,39.13448513,-84.51088355,2025-01-02,2024-12-30,2025-01
SR25000143,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,RADIO,OAKLEY,3713 ERIE AV,3713 ERIE AV - GJ2354135962,2025-01-02T00:00:00,5:36 AM,2025-01-02T00:00:00,2025-01-02T00:00:00,CLOSED,12,0.0,39.14416839,-84.41337407,2025-01-02,2024-12-30,2025-01
SR25000465,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,311 CALL,WESTWOOD,3351 PARKCREST LN,PARKCREST LN & JANLIN CT - GJ0561935842,2025-01-02T00:00:00,3:29 PM,2025-01-03T00:00:00,2025-01-03T00:00:00,CLOSED,12,1.0,39.14750319,-84.62061106,2025-01-02,2024-12-30,2025-01
SR25000292,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,INTERNET,COLLEGE HILL,6068 BELMONT AV,"6068 BELMONT AV, CINC -",2025-01-02T00:00:00,11:17 AM,2025-01-03T00:00:00,2025-01-03T00:00:00,CLOSED,12,1.0,39.20052158,-84.5619949,2025-01-02,2024-12-30,2025-01
SR25000264,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,INTERNET,COLLEGE HILL,5808 GLENVIEW AV,"5808 GLENVIEW AV, CINC - GJ1112641501",2025-01-02T00:00:00,10:40 AM,2025-01-03T00:00:00,2025-01-03T00:00:00,DUPLICAT,12,1.0,39.19693593,-84.55651777,2025-01-02,2024-12-30,2025-01
SR25000441,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,INTERNET,COLLEGE HILL,5808 GLENVIEW AV,"5808 GLENVIEW AV, CINC - GJ1112641501",2025-01-02T00:00:00,3:00 PM,2025-01-03T00:00:00,2025-01-03T00:00:00,CLOSED,12,1.0,39.19712584,-84.55633979,2025-01-02,2024-12-30,2025-01
SR25000443,"POTHOLE, REPAIR",STANDARD,PUBLIC SERVICES,INTERNET,COLLEGE HILL,5807 GLENVIEW AV,"5807 GLENVIEW AV, CINC - GJ1098541480",2025-01-02T00:00:00,3:02 PM,2025-01-03T00:00:00,2025-01-03T00:00:00,DUPLICAT,12,1.0,39.19690025,-84.55651672,2025-01-02,2024-12-30,2025-01
